,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
31117,0.2899441,-1.4106754,-2.8724113,-0.5472871,3.5748568,2.8617432,3.6126616,0.95946455,-1.8866934,-2.3358636,-0.80029464,2.1844356,-1.0228757,-0.603169,-1.9311372,2.2071297
42904,-2.2818778,2.9458485,-3.0379224,-4.1200223,3.563066,3.3223116,-7.927531,2.600291,5.20079,-1.3059838,-5.0492263,4.292256,-0.7241342,-1.6408728,3.936227,3.7134454
10434,1.450497,5.957315,-5.600236,-7.806012,2.084917,-3.063403,-4.1156106,2.3559306,2.0967655,-3.2022676,0.1630001,1.3782371,-0.9254168,-8.300018,0.5442436,1.6082684
80560,-0.99003893,0.055623766,0.6979882,-0.09404577,0.029116333,3.878376,1.7156092,-0.20573829,-0.7514652,-2.2826672,-3.2018547,1.7747725,0.44301656,4.2687974,1.3662529,0.84611815
50743,-2.2260785,1.8244809,-2.9208026,-2.9510283,0.75423384,6.165612,3.216357,1.3239833,2.5811005,2.500247,-3.2596345,1.1864698,-2.4529135,-1.7050319,-0.8739526,3.4536629
84708,0.38344413,2.4524546,-0.006022621,0.24546069,1.9886632,4.0647655,0.87877035,0.6100049,-2.9992409,-0.8112159,2.1942277,1.245561,1.0391527,-0.38716766,4.733949,1.3780818
26239,1.0976592,5.0673385,-0.30759358,-1.8648701,-0.4911129,4.6334515,2.7403207,2.3126771,2.703956,-3.8703756,0.75698423,2.6069505,-1.1101642,1.466952,4.3530345,1.5694367
81719,-2.064799,0.33292145,-1.9984553,1.0687907,2.9222684,4.4645505,-1.1318961,1.5733764,-2.2283106,-4.442401,-0.55406886,-0.021144256,-1.0292553,-0.9987562,-0.8804311,1.7842592
10525,-1.8346223,-0.32141125,-1.7061355,-1.9133484,0.011252575,-2.1147146,4.965553,1.0602793,-1.2422736,-5.9322085,3.049212,2.7594655,0.1305137,-0.87769634,-0.92508626,0.7871179
85723,2.9321218,-1.3702171,-3.0447311,-1.6329327,1.4230909,10.250479,-2.265375,2.8567164,6.0239744,-2.038489,-0.22255298,-1.3409657,-0.4234322,-1.1059811,-3.1372082,2.418291
93196,-0.925669,3.5336907,-0.27838242,-0.37914267,-1.5590173,5.722161,-0.18178244,0.6795527,2.1199565,-6.524978,4.362247,1.3646795,1.1497035,1.9772099,-0.6617975,-0.4913224
22761,0.06565294,1.4125762,-0.5851864,-1.9055746,1.6086676,-0.7659658,2.2679307,-0.056755643,-2.4238226,-5.078405,-0.7312875,-0.036481887,-2.1819105,-1.5336194,7.697298,0.5760037
75488,-1.9580734,1.4597034,0.33578426,-0.45282897,0.15697333,3.8230953,0.5474591,1.0571936,-3.1409879,-1.2584928,3.2387476,1.4218845,1.9079137,2.7745917,3.3472621,1.332107
5872,3.079429,-4.580275,2.6480532,2.3823864,-0.34507602,-0.35156298,1.7840985,-1.9404936,-0.25962222,-4.853538,-2.5508695,-0.87506735,0.7403853,2.2585056,-2.1822293,-0.93899244
2582,-1.4139903,0.3405747,-3.2691782,-2.0793123,2.7027476,-0.89996463,3.1679382,1.4228307,-0.7444555,-1.9544747,-1.3061502,3.4531095,-3.7397645,-2.1951404,4.927427,1.9969066
3927,-0.38385877,0.80753464,-3.3368077,-1.2693937,2.118774,1.0575314,5.9529433,1.4600308,-1.1554651,0.049542785,-0.45662922,4.0515995,-2.4719498,-3.1844864,0.11977027,2.437011
2553,-1.8863121,2.9981334,-3.2607388,-8.446015,0.668687,-0.5427912,3.6188831,2.3353574,6.608081,1.4502126,-4.488292,5.199759,-0.8903381,0.54233736,-5.3663697,5.056881
576,3.155666,1.6270077,-2.8158689,-0.33682123,2.6833367,0.23345214,3.4242847,0.98087794,-0.39867228,-4.8788567,1.6931267,3.9872398,-0.27411532,-1.4229891,2.984522,0.894272
13325,2.2947576,-0.06905091,-5.9650097,-7.7978196,2.077638,-4.4147987,3.5109515,2.2076108,1.4312825,-0.0053851902,-2.528953,2.9750226,-1.1874005,-2.3190396,-4.2208257,5.3400993
7695,5.662508,-0.47338414,-2.482905,0.44734153,6.512585,3.5221577,-2.4904795,3.4145052,-1.2459092,-1.7861745,-0.43149114,0.28226382,-0.1624747,-5.4688478,-3.7687998,2.0649097
1785,-0.8160746,-0.068264246,-5.3459473,-7.093063,5.660122,-4.5715938,6.5381627,4.174908,1.7654078,0.8254603,-7.225353,1.2349311,-1.3579077,1.0561546,-11.22623,4.980465
27652,0.22850183,1.4866666,-1.3560133,-0.24742833,1.4567517,3.8319829,6.1626472,1.388852,-0.17433178,-2.7790203,-0.88401806,1.6877767,-0.1320696,0.566192,-5.4982457,1.7427945
61971,-0.5753766,2.641978,-1.7215762,-0.8270181,2.529572,6.6385536,0.64268726,1.1776592,-2.664828,3.9611042,0.9400531,2.3456018,-1.5063506,0.8004572,5.661027,2.9432974
